             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.04                0.02                 0.8                 0.4                 -17                   9                   2                   a
                0.09                0.00                 1.9                 0.0                 -28                   9                   1                   a
                0.10                0.02                 2.2                 0.4                  30                   3                   4                   r
                0.16                0.02                 3.5                 0.4                 -22                   3                   6                   a
                0.17                0.02                 3.7                 0.4                  30                   5                   7                   r
                0.23                0.02                 5.0                 0.4                 -16                   2                   8                   a
                0.24                0.01                 5.4                 0.3                  24                   4                   6                   r
                0.30                0.02                 6.6                 0.4                 -14                   3                  14                   a
                0.30                0.02                 6.8                 0.4                  22                   4                  11                   r
                0.36                0.02                 8.0                 0.4                  -6                   2                  13                   a
                0.36                0.02                 8.1                 0.4                  23                   1                  12                   r
                0.41                0.01                 9.1                 0.3                 -10                   1                  20                   a
                0.41                0.02                 9.2                 0.3                  27                   2                  20                   r
                0.46                0.02                10.3                 0.4                  -8                   1                  20                   a
                0.47                0.01                10.3                 0.3                  30                   2                  20                   r
                0.52                0.02                11.5                 0.4                  28                   1                  20                   r
                0.54                0.02                12.1                 0.5                  -4                   4                  20                   a
                0.58                0.02                12.8                 0.4                  28                   1                  20                   r
                0.60                0.02                13.4                 0.4                   0                   3                  20                   a
                0.63                0.01                13.9                 0.3                  31                   2                  20                   r
                0.67                0.02                14.8                 0.4                   5                   3                  20                   a
                0.68                0.01                15.1                 0.3                  27                   1                  20                   r
                0.72                0.02                16.0                 0.4                   6                   3                  20                   a
                0.72                0.02                16.1                 0.3                  30                   2                  20                   r
                0.76                0.01                16.9                 0.2                  27                   2                  20                   r
                0.79                0.02                17.5                 0.5                   0                   3                  20                   a
                0.80                0.02                17.8                 0.3                  29                   2                  20                   r
                0.86                0.02                19.1                 0.4                  28                   2                  20                   r
                0.87                0.03                19.3                 0.7                   0                   4                  20                   a
                0.91                0.02                20.2                 0.4                  23                   2                  20                   r
                0.97                0.02                21.5                 0.4                  27                   2                  20                   r
                0.97                0.03                21.6                 0.6                  10                   3                  20                   a
                1.04                0.02                23.0                 0.5                  30                   4                  20                   r
                1.07                0.03                23.7                 0.6                   8                   3                  20                   a
                1.10                0.02                24.5                 0.5                  35                   2                  20                   r
                1.17                0.02                25.9                 0.4                  29                   4                  20                   r
                1.18                0.04                26.2                 0.8                  15                   3                  20                   a
                1.24                0.02                27.4                 0.4                  30                   3                  20                   r
                1.27                0.03                28.3                 0.6                  17                   1                  20                   a
                1.30                0.02                28.8                 0.5                  29                   4                  20                   r
                1.36                0.02                30.1                 0.4                  37                   4                  20                   r
                1.37                0.03                30.3                 0.6                  22                   1                  20                   a
                1.41                0.02                31.3                 0.4                  37                   3                  20                   r
                1.46                0.01                32.5                 0.3                  39                   3                  20                   r
                1.47                0.03                32.6                 0.8                  20                   3                  20                   a
                1.52                0.02                33.8                 0.4                  39                   4                  20                   r
                1.55                0.02                34.3                 0.4                  30                   4                  20                   a
                1.59                0.02                35.3                 0.4                  38                   4                  20                   r
                1.61                0.02                35.7                 0.4                  33                   2                  20                   a
                1.66                0.02                36.8                 0.5                  32                   3                  20                   r
                1.68                0.02                37.2                 0.4                  29                   2                  20                   a
                1.74                0.02                38.6                 0.5                  38                   4                  20                   r
                1.76                0.02                39.1                 0.5                  37                   2                  20                   a
                1.82                0.02                40.4                 0.5                  46                   4                  20                   r
                1.85                0.03                41.0                 0.6                  37                   1                  20                   a
                1.91                0.03                42.3                 0.6                  41                   4                  20                   r
                1.92                0.02                42.7                 0.4                  38                   2                  20                   a
                1.98                0.01                43.8                 0.2                  36                   4                  20                   a
                2.00                0.02                44.3                 0.5                  37                   2                  20                   r
                2.02                0.02                44.9                 0.3                  36                   2                  20                   a
                2.07                0.01                46.0                 0.3                  37                   1                  20                   a
                2.07                0.01                46.0                 0.3                  39                   4                  20                   r
                2.13                0.02                47.2                 0.4                  40                   2                  20                   a
                2.15                0.03                47.7                 0.6                  47                   2                  20                   r
                2.20                0.03                48.8                 0.6                  41                   3                  20                   a
                2.24                0.02                49.6                 0.4                  42                   4                  20                   r
                2.27                0.02                50.3                 0.4                  46                   3                  20                   a
                2.31                0.02                51.2                 0.5                  50                   2                  20                   r
                2.35                0.02                52.2                 0.5                  44                   4                  20                   a
                2.39                0.02                53.0                 0.4                  52                   3                  20                   r
                2.43                0.03                53.9                 0.6                  53                   3                  20                   a
                2.47                0.03                54.7                 0.6                  51                   4                  20                   r
                2.52                0.02                55.8                 0.5                  50                   3                  20                   a
                2.56                0.03                56.8                 0.6                  53                   4                  20                   r
                2.59                0.02                57.5                 0.5                  45                   2                  20                   a
                2.66                0.03                59.0                 0.7                  66                   3                  20                   r
                2.68                0.02                59.4                 0.5                  56                   3                  20                   a
                2.77                0.02                61.5                 0.5                  64                   4                  20                   a
                2.79                0.04                61.9                 1.0                  67                   3                  20                   r
                2.85                0.02                63.1                 0.4                  73                   4                  20                   a
                2.92                0.02                64.7                 0.5                  62                   3                  20                   a
                2.95                0.04                65.3                 0.9                  55                   4                  20                   r
                2.98                0.02                66.1                 0.3                  67                   4                  20                   a
