V_sys,V_sys_e,PA,PA_e,i,i_e
4765,4767,73,68,55,55
6111,6111,174,174,24,20
2255,2254,2,2,72,65
4513,4510,174,177,29,33
4546,4548,90,94,42,42
4637,4641,118,123,25,25
627,628,49,52,24,21
1147,1148,117,117,56,54
190 ,191 ,198,198,56,56
429,428,72,73,78,76
412,415,44,47,46,46
743,742,342,342,43,53
1097,1097,260,257,16,19
3092,3090,103,106,72,73
4863,4858,301,307,43,47
5432,5427,318,318,45,45
1527,1522,27,27,49,35
4841,4836,33,35,63,62
537,536,288,288,47,48
594,593,315,315,19,19
567,567,342,342,19,19
1523,1525,320,319,61,61
893,893,336,336,25,25
964,965,190,191,77,74
1475,1475,158,159,49,41
519,519,302,305,23,6
368,367,263,263,51,51
2372,2377,33,34,48,49
1179,1174,294,291,38,52
1190,1188,99,100,67,68
2452,2453,193,195,58,58
615,615,41,42,79,82
3945,3952,275,277,47,47
4488,4490,183,184,22,18
899,868,327,317,55,54
2680,2679,109,110,62,63
4412,4415,255,258,62,58
4337,4340,220,223,54,42
1437,1433,101,99,54,19
1796,1795,297,298,20,12
2204,2203,249,248,63,64
5165,5161,231,230,47,44
5291,5292,232,232,62,55
965,966,140,139,36,43
2417,2416,247,247,55,48
2201,2200,356,357,59,58
1724,1724,255,254,5,20
855,854,360,358,59,59
4660,4659,30,30,45,47
4890,4892,138,139,54,56
505,504,266,265,42,41
5256,5252,291,291,40,38
2397,2398,211,212,57,60
428,430,173,175,39,27
535,536,176,176,69,59
140,139,188,189,40,40
508,508,57,57,52,63
2122,2119,236,250,50,50
4325,4321,36,36,21,25
5471,5470,125,124,43,9
680,682,144,141,50,50
1949,1948,319,316,66,52
4233,4235,91,90,36,38
7042,7026,280,278,32,20
1349,1350,157,157,37,38
1729,1728,295,294,11,13
7664,7667,147,148,17,16
3046,3049,145,143,56,56
1869,1869,119,120,71,72
1466,1465,260,260,74,73
1323,1322,354,356,41,40
1033,1031,131,130,76,77
2441,2439,346,345,26,30
291,291,58,51,85,10
592,592,216,219,60,71
1299,1298,200,200,22,31
2802,2802,148,147,32,32
528,527,275,275,62,62
989,992,151,153,39,53
729,730,28,27,70,68
626,626,197,198,53,34
582,580,333,333,18,18
1245,1245,293,292,32,47
1606,1604,358,360,56,54
1572,1573,28,28,55,55
1521,1525,339,343,39,39
1194,1191,71,76,17,17
1382,1381,38,34,22,66
5841,5842,19,20,51,46
5949,5947,352,353,24,24
854,856,200,200,47,47
863,863,183,179,20,20
7334,7332,250,256,41,38
951,951,343,343,50,49
1153,1157,110,112,71,70
1976,1976,264,266,56,56
757,758,100,99,68,68
1011,1009,276,275,67,65
506,505,38,38,51,51
807,807,322,323,68,69
134,136,295,290,35,56
529,530,216,217,58,58
599,598,295,297,47,47
944,944,343,344,45,53
788,788,255,254,54,53
458,457,30,32,50,31
642,642,274,276,46,49
484,484,99,100,67,66
974,975,121,121,53,57
191,190,168,167,43,40
2406,2405,330,330,75,76
2075,2075,62,63,50,52
1782,1789,218,218,77,77
3450,3448,31,31,36,27
3511,3511,163,161,47,57
2962,2961,185,185,33,32
263,262,162,164,21,21
295,293,52,49,30,36
3878,3865,266,261,47,58
1905,1912,186,182,57,54
1577,1577,147,147,18,18
2109,2109,223,225,64,62
2281,2281,131,132,51,59
1486,1485,129,127,65,65
1556,1555,120,122,38,41
441,440,233,235,54,54
3136,3135,217,219,48,51
770,764,1,3,69,69
2628,2638,67,70,75,75
427,430,149,148,58,56
1947,1946,266,266,58,54
2521,2516,16,16,61,61
830,827,210,210,61,62
701,702,190,187,42,42
910,911,281,284,44,44
961,961,106,110,46,47
1354,1354,287,287,34,34
4290,4291,97,99,51,50
834,832,20,20,59,59
1265,1268,177,182,51,42
1119,1120,149,149,75,77
1090,1089,223,225,31,21
1212,1210,59,56,39,44
1313,1318,91,92,34,34
1311,1313,113,115,31,31
24,25,295,299,71,72
1606,1606,180,182,49,51
1476,1477,41,42,59,58
2564,2563,276,272,66,69
1945,1944,121,120,34,34
481,482,168,168,66,70
2405,2402,65,65,64,64
4660,4679,208,208,61,61
824,826,224,226,62,66
3552,3546,45,47,47,47
2113,2115,160,167,20,44
3285,3284,251,251,71,71
1393,1392,272,276,29,29
40,40,241,241,41,40
769,776,327,333,69,65
900,897,58,59,63,70
5822,5821,188,189,56,47
1477,1476,214,218,49,43
1138,1140,81,86,42,47
468,466,114,119,43,43
944,945,265,266,37,33
1083,1085,258,261,75,76
878,879,187,187,39,36
793,792,137,143,30,14
766,770,319,317,58,58
896,899,101,82,71,71
5644,5642,323,322,39,33
2372,2371,204,203,48,52
